2006, Departure, 24083
2006, Arrival, 24073
2007, Arrival, 25114
2007, Departure, 25200
2008, Arrival, 23307
2008, Departure, 23348
2009, Departure, 21060
2009, Arrival, 21029
2010, Arrival, 21694
2010, Departure, 21698
2011, Departure, 22821
2011, Arrival, 22834
2012, Departure, 22909
2012, Arrival, 22914
2013, Arrival, 23296
2013, Departure, 23294
2014, Departure, 24082
2014, Arrival, 24078
2015, Arrival, 24300
2015, Departure, 24320
2016, Arrival, 25834
2016, Departure, 25894
2017, Arrival, 19887
2017, Departure, 19909
